害蟲名稱,縣市,鄉鎮,年度,月份,旬,平均值
斜紋夜蛾,彰化縣,福興鄉,2015,2,1,3
斜紋夜蛾,彰化縣,田尾鄉,2015,2,1,5
斜紋夜蛾,彰化縣,大城鄉,2015,2,1,8.7
斜紋夜蛾,新竹縣,竹北市,2015,2,1,8.3
斜紋夜蛾,新北市,蘆洲區,2015,2,1,3
斜紋夜蛾,雲林縣,褒忠鄉,2015,2,1,3.3
斜紋夜蛾,高雄市,岡山區,2015,2,1,3.7
斜紋夜蛾,苗栗縣,後龍鎮,2015,2,1,1.7
斜紋夜蛾,花連縣,新秀地區,2015,2,1,4.3
斜紋夜蛾,花連縣,吉安鄉,2015,2,1,5.7
斜紋夜蛾,台南市,官田區,2015,2,1,2.7
斜紋夜蛾,台中市,霧峰區,2015,2,1,68
斜紋夜蛾,台中市,龍井區,2015,2,1,2
斜紋夜蛾,台中市,大甲區,2015,2,1,0.7
斜紋夜蛾,彰化縣,福興鄉,2015,1,3,4.3
斜紋夜蛾,彰化縣,田尾鄉,2015,1,3,5
斜紋夜蛾,彰化縣,大城鄉,2015,1,3,16.7
斜紋夜蛾,新竹縣,竹北市,2015,1,3,8.7
斜紋夜蛾,新北市,蘆洲區,2015,1,3,1
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,3,3
斜紋夜蛾,高雄市,岡山區,2015,1,3,5.3
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,3,5.3
斜紋夜蛾,花蓮縣,新秀地區,2015,1,3,5.7
斜紋夜蛾,花蓮縣,吉安鄉,2015,1,3,5.3
斜紋夜蛾,台南市,官田區,2015,1,3,0.7
斜紋夜蛾,台中市,霧峰區,2015,1,3,73.3
斜紋夜蛾,台中市,龍井區,2015,1,3,2.7
斜紋夜蛾,台中市,大甲區,2015,1,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2015,1,2,8
斜紋夜蛾,彰化縣,田尾鄉,2015,1,2,5
斜紋夜蛾,彰化縣,大城鄉,2015,1,2,10.7
斜紋夜蛾,新竹縣,竹北市,2015,1,2,8.3
斜紋夜蛾,新北市,蘆洲區,2015,1,2,0.3
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,2,5.3
斜紋夜蛾,高雄市,岡山區,2015,1,2,8.3
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,2,6.3
斜紋夜蛾,花蓮縣,新秀地區,2015,1,2,6
斜紋夜蛾,花蓮縣,吉安鄉,2015,1,2,5.7
斜紋夜蛾,台南市,官田區,2015,1,2,2.7
斜紋夜蛾,台中市,龍井區,2015,1,2,7.3
斜紋夜蛾,台中市,大甲區,2015,1,2,3.3
斜紋夜蛾,彰化縣,福興鄉,2015,1,1,9.7
斜紋夜蛾,彰化縣,田尾鄉,2015,1,1,8.3
斜紋夜蛾,彰化縣,大城鄉,2015,1,1,7.7
斜紋夜蛾,新竹縣,竹北市,2015,1,1,7
斜紋夜蛾,新北市,蘆洲區,2015,1,1,0
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,1,3.7
斜紋夜蛾,高雄市,岡山區,2015,1,1,8
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,1,11
斜紋夜蛾,花蓮縣,新秀地區,2015,1,1,7.3
斜紋夜蛾,花蓮縣,吉安鄉,2015,1,1,6.7
斜紋夜蛾,台南市,官田區,2015,1,1,3
斜紋夜蛾,台中市,霧峰區,2015,1,1,85.3
斜紋夜蛾,台中市,龍井區,2015,1,1,20
斜紋夜蛾,台中市,大甲區,2015,1,1,2.7
斜紋夜蛾,彰化縣,福興鄉,2014,12,3,8.3
斜紋夜蛾,彰化縣,田尾鄉,2014,12,3,3.3
斜紋夜蛾,彰化縣,大城鄉,2014,12,3,10.7
斜紋夜蛾,新竹縣,竹北市,2014,12,3,9.7
斜紋夜蛾,新北市,蘆洲區,2014,12,3,15.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,12,3,6.3
斜紋夜蛾,高雄市,岡山區,2014,12,3,5.7
斜紋夜蛾,苗栗縣,後龍鎮,2014,12,3,19.7
斜紋夜蛾,花蓮縣,新秀地區,2014,12,3,7.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,12,3,6
斜紋夜蛾,宜蘭縣,三星地區,2014,12,3,2.7
斜紋夜蛾,台南市,官田區,2014,12,3,4
斜紋夜蛾,台中市,龍井區,2014,12,3,24
斜紋夜蛾,台中市,大甲區,2014,12,3,6.7
斜紋夜蛾,彰化縣,福興鄉,2014,12,2,0
斜紋夜蛾,彰化縣,田尾鄉,2014,12,2,0
斜紋夜蛾,彰化縣,大城鄉,2014,12,2,0
斜紋夜蛾,新竹縣,竹北市,2014,12,2,0
斜紋夜蛾,新北市,蘆洲區,2014,12,2,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,12,2,0
斜紋夜蛾,高雄市,岡山區,2014,12,2,0
斜紋夜蛾,苗栗縣,後龍鎮,2014,12,2,0
斜紋夜蛾,花連縣,新秀地區,2014,12,2,0
斜紋夜蛾,花連縣,吉安鄉,2014,12,2,0
斜紋夜蛾,宜蘭縣,三星地區,2014,12,2,0
斜紋夜蛾,台南市,官田區,2014,12,2,0
斜紋夜蛾,台中市,霧峰區,2014,12,2,0
斜紋夜蛾,台中市,龍井區,2014,12,2,0
斜紋夜蛾,台中市,大甲區,2014,12,2,0
斜紋夜蛾,彰化縣,福興鄉,2014,12,1,0
斜紋夜蛾,彰化縣,田尾鄉,2014,12,1,0
斜紋夜蛾,彰化縣,大城鄉,2014,12,1,0
斜紋夜蛾,新竹縣,竹北市,2014,12,1,0
斜紋夜蛾,新北市,蘆洲區,2014,12,1,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,12,1,0
斜紋夜蛾,高雄市,岡山區,2014,12,1,0
斜紋夜蛾,苗栗縣,後龍鎮,2014,12,1,0
斜紋夜蛾,花連縣,新秀地區,2014,12,1,0
斜紋夜蛾,花連縣,吉安鄉,2014,12,1,0
斜紋夜蛾,宜蘭縣,三星地區,2014,12,1,0
斜紋夜蛾,台南市,官田區,2014,12,1,0
斜紋夜蛾,台中市,霧峰區,2014,12,1,0
斜紋夜蛾,台中市,龍井區,2014,12,1,0
斜紋夜蛾,台中市,大甲區,2014,12,1,0
斜紋夜蛾,彰化縣,福興鄉,2014,11,3,0
斜紋夜蛾,彰化縣,田尾鄉,2014,11,3,0
斜紋夜蛾,彰化縣,大城鄉,2014,11,3,0
斜紋夜蛾,新竹縣,竹北市,2014,11,3,0
斜紋夜蛾,新北市,蘆洲區,2014,11,3,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,11,3,0
斜紋夜蛾,高雄市,岡山區,2014,11,3,0
斜紋夜蛾,苗栗縣,後龍鎮,2014,11,3,0
斜紋夜蛾,花連縣,新秀地區,2014,11,3,0
斜紋夜蛾,花連縣,吉安鄉,2014,11,3,0
斜紋夜蛾,宜蘭縣,三星地區,2014,11,3,0
斜紋夜蛾,台南市,官田區,2014,11,3,0
斜紋夜蛾,台中市,龍井區,2014,11,3,0
斜紋夜蛾,台中市,大甲區,2014,11,3,0
斜紋夜蛾,彰化縣,福興鄉,2014,11,2,45
斜紋夜蛾,彰化縣,田尾鄉,2014,11,2,5
斜紋夜蛾,彰化縣,大城鄉,2014,11,2,22
斜紋夜蛾,新竹縣,竹北市,2014,11,2,9.3
斜紋夜蛾,新北市,蘆洲區,2014,11,2,16
斜紋夜蛾,雲林縣,褒忠鄉,2014,11,2,134.3
斜紋夜蛾,高雄市,岡山區,2014,11,2,5
斜紋夜蛾,苗栗縣,後龍鎮,2014,11,2,20.3
斜紋夜蛾,花連縣,新秀地區,2014,11,2,14
斜紋夜蛾,花連縣,吉安鄉,2014,11,2,6
斜紋夜蛾,宜蘭縣,三星地區,2014,11,2,5.7
斜紋夜蛾,台南市,官田區,2014,11,2,1.3
斜紋夜蛾,台中市,霧峰區,2014,11,2,70
斜紋夜蛾,台中市,龍井區,2014,11,2,22
斜紋夜蛾,台中市,大甲區,2014,11,2,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,11,1,38.3
斜紋夜蛾,彰化縣,田尾鄉,2014,11,1,11.7
斜紋夜蛾,彰化縣,大城鄉,2014,11,1,24.3
斜紋夜蛾,新竹縣,竹北市,2014,11,1,10.7
斜紋夜蛾,新北市,蘆洲區,2014,11,1,34.3
斜紋夜蛾,雲林縣,褒忠鄉,2014,11,1,165
斜紋夜蛾,高雄市,岡山區,2014,11,1,7
斜紋夜蛾,苗栗縣,後龍鎮,2014,11,1,20
斜紋夜蛾,花連縣,新秀地區,2014,11,1,17
斜紋夜蛾,花連縣,吉安鄉,2014,11,1,7
斜紋夜蛾,宜蘭縣,三星地區,2014,11,1,8.3
斜紋夜蛾,台南市,官田區,2014,11,1,1
斜紋夜蛾,台中市,霧峰區,2014,11,1,81.3
斜紋夜蛾,台中市,龍井區,2014,11,1,57.3
斜紋夜蛾,台中市,大甲區,2014,11,1,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,10,3,6.7
斜紋夜蛾,彰化縣,田尾鄉,2014,10,3,11.7
斜紋夜蛾,彰化縣,大城鄉,2014,10,3,45.7
斜紋夜蛾,新竹縣,竹北市,2014,10,3,10
斜紋夜蛾,新北市,蘆洲區,2014,10,3,22.3
斜紋夜蛾,雲林縣,褒忠鄉,2014,10,3,73.3
斜紋夜蛾,高雄市,岡山區,2014,10,3,5.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,10,3,11
斜紋夜蛾,花連縣,新秀地區,2014,10,3,16.3
斜紋夜蛾,花連縣,吉安鄉,2014,10,3,6.3
斜紋夜蛾,宜蘭縣,三星地區,2014,10,3,11.3
斜紋夜蛾,台南市,官田區,2014,10,3,10.7
斜紋夜蛾,台中市,龍井區,2014,10,3,15
斜紋夜蛾,台中市,大甲區,2014,10,3,1.7
斜紋夜蛾,彰化縣,福興鄉,2014,10,2,13.7
斜紋夜蛾,彰化縣,田尾鄉,2014,10,2,13.3
斜紋夜蛾,彰化縣,大城鄉,2014,10,2,68.3
斜紋夜蛾,新竹縣,竹北市,2014,10,2,12.7
斜紋夜蛾,新北市,蘆洲區,2014,10,2,59.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,10,2,40.3
斜紋夜蛾,高雄市,岡山區,2014,10,2,4.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,10,2,13.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,10,2,7.3
斜紋夜蛾,宜蘭縣,三星地區,2014,10,2,9.3
斜紋夜蛾,台南市,官田區,2014,10,2,10.7
斜紋夜蛾,台中市,霧峰區,2014,10,2,71.7
斜紋夜蛾,台中市,龍井區,2014,10,2,14
斜紋夜蛾,台中市,大甲區,2014,10,2,2
斜紋夜蛾,彰化縣,福興鄉,2014,10,1,28
斜紋夜蛾,彰化縣,田尾鄉,2014,10,1,13.3
斜紋夜蛾,彰化縣,大城鄉,2014,10,1,350
斜紋夜蛾,新竹縣,竹北市,2014,10,1,17.3
斜紋夜蛾,新北市,蘆洲區,2014,10,1,36.3
斜紋夜蛾,雲林縣,褒忠鄉,2014,10,1,28.3
斜紋夜蛾,高雄市,岡山區,2014,10,1,3
斜紋夜蛾,苗栗縣,後龍鎮,2014,10,1,18.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,10,1,8.7
斜紋夜蛾,宜蘭縣,三星地區,2014,10,1,9.3
斜紋夜蛾,台南市,官田區,2014,10,1,2.7
斜紋夜蛾,台中市,龍井區,2014,10,1,12.7
斜紋夜蛾,台中市,大甲區,2014,10,1,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,9,3,22.3
斜紋夜蛾,彰化縣,田尾鄉,2014,9,3,13.3
斜紋夜蛾,彰化縣,大城鄉,2014,9,3,54.3
斜紋夜蛾,新竹縣,竹北市,2014,9,3,16.3
斜紋夜蛾,新北市,蘆洲區,2014,9,3,119.3
斜紋夜蛾,高雄市,岡山區,2014,9,3,4.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,9,3,18.3
斜紋夜蛾,金門縣,,2014,9,3,24.5
斜紋夜蛾,花蓮縣,吉安鄉,2014,9,3,8.7
斜紋夜蛾,宜蘭縣,三星地區,2014,9,3,15
斜紋夜蛾,台南市,官田區,2014,9,3,2.7
斜紋夜蛾,台中市,霧峰區,2014,9,3,64
斜紋夜蛾,台中市,龍井區,2014,9,3,14.7
斜紋夜蛾,台中市,大甲區,2014,9,3,1.3
斜紋夜蛾,彰化縣,福興鄉,2014,9,2,68.3
斜紋夜蛾,彰化縣,田尾鄉,2014,9,2,11.7
斜紋夜蛾,彰化縣,大城鄉,2014,9,2,44.3
斜紋夜蛾,新竹縣,竹北市,2014,9,2,11.7
斜紋夜蛾,新北市,蘆洲區,2014,9,2,27.7
斜紋夜蛾,高雄市,岡山區,2014,9,2,8.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,9,2,21
斜紋夜蛾,花蓮縣,新秀地區,2014,9,2,22.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,9,2,8.3
斜紋夜蛾,宜蘭縣,三星地區,2014,9,2,25.3
斜紋夜蛾,台南市,官田區,2014,9,2,2.7
斜紋夜蛾,台中市,霧峰區,2014,9,2,70
斜紋夜蛾,台中市,龍井區,2014,9,2,53.7
斜紋夜蛾,台中市,大甲區,2014,9,2,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,9,1,34.7
斜紋夜蛾,彰化縣,田尾鄉,2014,9,1,5
斜紋夜蛾,彰化縣,大城鄉,2014,9,1,24
斜紋夜蛾,新竹縣,竹北市,2014,9,1,16.7
斜紋夜蛾,新北市,蘆洲區,2014,9,1,126.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,9,1,49.7
斜紋夜蛾,高雄市,岡山區,2014,9,1,6
斜紋夜蛾,苗栗縣,後龍鎮,2014,9,1,23
斜紋夜蛾,花蓮縣,新秀地區,2014,9,1,27.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,9,1,9.3
斜紋夜蛾,宜蘭縣,三星地區,2014,9,1,11.3
斜紋夜蛾,台南市,官田區,2014,9,1,4.3
斜紋夜蛾,台中市,霧峰區,2014,9,1,50.7
斜紋夜蛾,台中市,龍井區,2014,9,1,60.7
斜紋夜蛾,台中市,大甲區,2014,9,1,0
斜紋夜蛾,彰化縣,福興鄉,2014,8,3,13.3
斜紋夜蛾,彰化縣,田尾鄉,2014,8,3,15
斜紋夜蛾,彰化縣,大城鄉,2014,8,3,21.3
斜紋夜蛾,新竹縣,竹北市,2014,8,3,17.7
斜紋夜蛾,新北市,蘆洲區,2014,8,3,26.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,8,3,46
斜紋夜蛾,高雄市,岡山區,2014,8,3,3.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,8,3,22
斜紋夜蛾,花蓮縣,新秀地區,2014,8,3,30.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,8,3,9
斜紋夜蛾,宜蘭縣,三星地區,2014,8,3,16.7
斜紋夜蛾,台南市,官田區,2014,8,3,4.7
斜紋夜蛾,台中市,霧峰區,2014,8,3,67.7
斜紋夜蛾,台中市,龍井區,2014,8,3,54.7
斜紋夜蛾,台中市,大甲區,2014,8,3,0.3
斜紋夜蛾,彰化縣,福興鄉,2014,8,2,15
斜紋夜蛾,彰化縣,田尾鄉,2014,8,2,11.7
斜紋夜蛾,彰化縣,大城鄉,2014,8,2,18.3
斜紋夜蛾,新竹縣,竹北市,2014,8,2,0
斜紋夜蛾,新北市,蘆洲區,2014,8,2,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,8,2,58.3
斜紋夜蛾,高雄市,岡山區,2014,8,2,2
斜紋夜蛾,苗栗縣,後龍鎮,2014,8,2,0
斜紋夜蛾,花蓮縣,新秀地區,2014,8,2,32
斜紋夜蛾,花蓮縣,吉安鄉,2014,8,2,9.7
斜紋夜蛾,宜蘭縣,三星地區,2014,8,2,0
斜紋夜蛾,台南市,官田區,2014,8,2,6.3
斜紋夜蛾,台中市,霧峰區,2014,8,2,0
斜紋夜蛾,台中市,龍井區,2014,8,2,0
斜紋夜蛾,台中市,大甲區,2014,8,2,0
斜紋夜蛾,彰化縣,福興鄉,2014,8,1,12.3
斜紋夜蛾,彰化縣,田尾鄉,2014,8,1,5
斜紋夜蛾,彰化縣,大城鄉,2014,8,1,36.3
斜紋夜蛾,新竹縣,竹北市,2014,8,1,14.3
斜紋夜蛾,新北市,蘆洲區,2014,8,1,19
斜紋夜蛾,雲林縣,褒忠鄉,2014,8,1,50
斜紋夜蛾,高雄市,岡山區,2014,8,1,4
斜紋夜蛾,苗栗縣,後龍鎮,2014,8,1,20.7
斜紋夜蛾,花蓮縣,新秀地區,2014,8,1,36
斜紋夜蛾,花蓮縣,吉安鄉,2014,8,1,10.7
斜紋夜蛾,宜蘭縣,三星地區,2014,8,1,27.7
斜紋夜蛾,台南市,官田區,2014,8,1,26
斜紋夜蛾,台中市,霧峰區,2014,8,1,67
斜紋夜蛾,台中市,龍井區,2014,8,1,64.7
斜紋夜蛾,台中市,大甲區,2014,8,1,1
斜紋夜蛾,彰化縣,福興鄉,2014,7,3,22
斜紋夜蛾,彰化縣,田尾鄉,2014,7,3,8.3
斜紋夜蛾,彰化縣,大城鄉,2014,7,3,20.3
斜紋夜蛾,新竹縣,竹北市,2014,7,3,15.3
斜紋夜蛾,新北市,蘆洲區,2014,7,3,28
斜紋夜蛾,雲林縣,褒忠鄉,2014,7,3,9
斜紋夜蛾,高雄市,岡山區,2014,7,3,5
斜紋夜蛾,苗栗縣,後龍鎮,2014,7,3,19.3
斜紋夜蛾,花蓮縣,新秀地區,2014,7,3,46.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,7,3,9
斜紋夜蛾,宜蘭縣,三星地區,2014,7,3,44
斜紋夜蛾,台南市,官田區,2014,7,3,13
斜紋夜蛾,台中市,霧峰區,2014,7,3,61.7
斜紋夜蛾,台中市,龍井區,2014,7,3,11
斜紋夜蛾,台中市,大甲區,2014,7,3,0.3
斜紋夜蛾,彰化縣,福興鄉,2014,7,2,19.3
斜紋夜蛾,彰化縣,田尾鄉,2014,7,2,8.3
斜紋夜蛾,彰化縣,大城鄉,2014,7,2,71.7
斜紋夜蛾,新竹縣,竹北市,2014,7,2,11.3
斜紋夜蛾,新北市,蘆洲區,2014,7,2,30
斜紋夜蛾,雲林縣,褒忠鄉,2014,7,2,1
斜紋夜蛾,高雄市,岡山區,2014,7,2,5.3
斜紋夜蛾,苗栗縣,後龍鎮,2014,7,2,39.3
斜紋夜蛾,花蓮縣,新秀地區,2014,7,2,45.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,7,2,8.3
斜紋夜蛾,宜蘭縣,三星地區,2014,7,2,41.3
斜紋夜蛾,台南市,官田區,2014,7,2,28
斜紋夜蛾,台中市,霧峰區,2014,7,2,52.3
斜紋夜蛾,台中市,龍井區,2014,7,2,208
斜紋夜蛾,台中市,大甲區,2014,7,2,0.7
斜紋夜蛾,彰化縣,福興鄉,2014,7,1,17
斜紋夜蛾,彰化縣,田尾鄉,2014,7,1,10
斜紋夜蛾,彰化縣,大城鄉,2014,7,1,50
斜紋夜蛾,新竹縣,竹北市,2014,7,1,18
斜紋夜蛾,新北市,蘆洲區,2014,7,1,21.7
斜紋夜蛾,雲林縣,褒忠鄉,2014,7,1,1.7
斜紋夜蛾,高雄市,岡山區,2014,7,1,6.7
斜紋夜蛾,苗栗縣,後龍鎮,2014,7,1,39.7
斜紋夜蛾,花蓮縣,新秀地區,2014,7,1,48.7
斜紋夜蛾,花蓮縣,吉安鄉,2014,7,1,7.7
斜紋夜蛾,宜蘭縣,三星地區,2014,7,1,40.7
斜紋夜蛾,台南市,官田區,2014,7,1,158.7
斜紋夜蛾,台中市,霧峰區,2014,7,1,41.3
斜紋夜蛾,台中市,龍井區,2014,7,1,460
斜紋夜蛾,台中市,大甲區,2014,7,1,0.3
斜紋夜蛾,彰化縣,福興鄉,2014,6,3,0
斜紋夜蛾,彰化縣,田尾鄉,2014,6,3,0
斜紋夜蛾,彰化縣,大城鄉,2014,6,3,0
斜紋夜蛾,新竹縣,竹北市,2014,6,3,0
斜紋夜蛾,新北市,蘆洲區,2014,6,3,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,6,3,0
斜紋夜蛾,高雄市,岡山區,2014,6,3,0
斜紋夜蛾,苗栗縣,後龍鎮,2014,6,3,0
斜紋夜蛾,花蓮縣,新秀地區,2014,6,3,0
斜紋夜蛾,花蓮縣,吉安鄉,2014,6,3,0
斜紋夜蛾,宜蘭縣,三星地區,2014,6,3,0
斜紋夜蛾,台南市,官田區,2014,6,3,0
斜紋夜蛾,台中市,霧峰區,2014,6,3,0
斜紋夜蛾,台中市,龍井區,2014,6,3,0
斜紋夜蛾,台中市,大甲區,2014,6,3,0
斜紋夜蛾,彰化縣,福興鄉,2014,6,2,0
斜紋夜蛾,彰化縣,大城鄉,2014,6,2,0
斜紋夜蛾,新竹縣,竹北市,2014,6,2,0
斜紋夜蛾,新北市,蘆洲區,2014,6,2,0
斜紋夜蛾,雲林縣,褒忠鄉,2014,6,2,0
斜紋夜蛾,高雄市,岡山區,2014,6,2,0
斜紋夜蛾,苗栗縣,後龍鎮,2014,6,2,0
斜紋夜蛾,花蓮縣,新秀地區,2014,6,2,0
斜紋夜蛾,花蓮縣,吉安鄉,2014,6,2,0
斜紋夜蛾,宜蘭縣,三星地區,2014,6,2,0
斜紋夜蛾,台南市,官田區,2014,6,2,0
斜紋夜蛾,台中市,霧峰區,2014,6,2,0
斜紋夜蛾,台中市,龍井區,2014,6,2,0
斜紋夜蛾,台中市,大甲區,2014,6,2,0
斜紋夜蛾,彰化縣,福興鄉,2014,6,1,24.7
斜紋夜蛾,彰化縣,大城鄉,2014,6,1,102.7
斜紋夜蛾,新竹縣,竹北市,2014,6,1,11.3
斜紋夜蛾,新北市,蘆洲區,2014,6,1,11.3
斜紋夜蛾,雲林縣,褒忠鄉,2014,6,1,11.3
斜紋夜蛾,高雄市,岡山區,2014,6,1,6
斜紋夜蛾,苗栗縣,後龍鎮,2014,6,1,30.7
斜紋夜蛾,花蓮縣,新秀地區,2014,6,1,44.3
斜紋夜蛾,花蓮縣,吉安鄉,2014,6,1,5.7
