,害蟲名稱,縣市,鄉鎮,年度,月份,旬,平均值,ID,date,St
0,斜紋夜蛾,彰化縣,福興鄉,2015,2,1,3.0,C0G640,2015-02-01,C0G640
1,斜紋夜蛾,彰化縣,田尾鄉,2015,2,1,5.0,C0G840,2015-02-01,C0G840
2,斜紋夜蛾,彰化縣,大城鄉,2015,2,1,8.7,C0G840,2015-02-01,C0G840
3,斜紋夜蛾,新竹縣,竹北市,2015,2,1,8.3,467571,2015-02-01,467571
4,斜紋夜蛾,新北市,蘆洲區,2015,2,1,3.0,C0ACA0,2015-02-01,C0ACA0
5,斜紋夜蛾,雲林縣,褒忠鄉,2015,2,1,3.3,C0K250,2015-02-01,C0K250
6,斜紋夜蛾,高雄市,岡山區,2015,2,1,3.7,C0V670,2015-02-01,C0V670
7,斜紋夜蛾,苗栗縣,後龍鎮,2015,2,1,1.7,C0E750,2015-02-01,C0E750
8,斜紋夜蛾,花連縣,新秀地區,2015,2,1,4.3,466990,2015-02-01,466990
9,斜紋夜蛾,花連縣,吉安鄉,2015,2,1,5.7,466990,2015-02-01,466990
10,斜紋夜蛾,台南市,官田區,2015,2,1,2.7,C0O900,2015-02-01,C0O900
11,斜紋夜蛾,台中市,霧峰區,2015,2,1,68.0,C1F9B1,2015-02-01,C1F9B1
12,斜紋夜蛾,台中市,龍井區,2015,2,1,2.0,467770,2015-02-01,467770
13,斜紋夜蛾,台中市,大甲區,2015,2,1,0.7,C0F930,2015-02-01,C0F930
14,斜紋夜蛾,彰化縣,福興鄉,2015,1,3,4.3,C0G640,2015-01-21,C0G640
15,斜紋夜蛾,彰化縣,田尾鄉,2015,1,3,5.0,C0G840,2015-01-21,C0G840
16,斜紋夜蛾,彰化縣,大城鄉,2015,1,3,16.7,C0G840,2015-01-21,C0G840
17,斜紋夜蛾,新竹縣,竹北市,2015,1,3,8.7,467571,2015-01-21,467571
18,斜紋夜蛾,新北市,蘆洲區,2015,1,3,1.0,C0ACA0,2015-01-21,C0ACA0
19,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,3,3.0,C0K250,2015-01-21,C0K250
20,斜紋夜蛾,高雄市,岡山區,2015,1,3,5.3,C0V670,2015-01-21,C0V670
21,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,3,5.3,C0E750,2015-01-21,C0E750
22,斜紋夜蛾,花蓮縣,新秀地區,2015,1,3,5.7,466990,2015-01-21,466990
23,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,3,5.3,466990,2015-01-21,466990
24,斜紋夜蛾,台南市,官田區,2015,1,3,0.7,C0O900,2015-01-21,C0O900
25,斜紋夜蛾,台中市,霧峰區,2015,1,3,73.3,C1F9B1,2015-01-21,C1F9B1
26,斜紋夜蛾,台中市,龍井區,2015,1,3,2.7,467770,2015-01-21,467770
27,斜紋夜蛾,台中市,大甲區,2015,1,3,0.7,C0F930,2015-01-21,C0F930
28,斜紋夜蛾,彰化縣,福興鄉,2015,1,2,8.0,C0G640,2015-01-11,C0G640
29,斜紋夜蛾,彰化縣,田尾鄉,2015,1,2,5.0,C0G840,2015-01-11,C0G840
30,斜紋夜蛾,彰化縣,大城鄉,2015,1,2,10.7,C0G840,2015-01-11,C0G840
31,斜紋夜蛾,新竹縣,竹北市,2015,1,2,8.3,467571,2015-01-11,467571
32,斜紋夜蛾,新北市,蘆洲區,2015,1,2,0.3,C0ACA0,2015-01-11,C0ACA0
33,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,2,5.3,C0K250,2015-01-11,C0K250
34,斜紋夜蛾,高雄市,岡山區,2015,1,2,8.3,C0V670,2015-01-11,C0V670
35,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,2,6.3,C0E750,2015-01-11,C0E750
36,斜紋夜蛾,花蓮縣,新秀地區,2015,1,2,6.0,466990,2015-01-11,466990
37,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,2,5.7,466990,2015-01-11,466990
38,斜紋夜蛾,台南市,官田區,2015,1,2,2.7,C0O900,2015-01-11,C0O900
39,斜紋夜蛾,台中市,龍井區,2015,1,2,7.3,467770,2015-01-11,467770
40,斜紋夜蛾,台中市,大甲區,2015,1,2,3.3,C0F930,2015-01-11,C0F930
41,斜紋夜蛾,彰化縣,福興鄉,2015,1,1,9.7,C0G640,2015-01-01,C0G640
42,斜紋夜蛾,彰化縣,田尾鄉,2015,1,1,8.3,C0G840,2015-01-01,C0G840
43,斜紋夜蛾,彰化縣,大城鄉,2015,1,1,7.7,C0G840,2015-01-01,C0G840
44,斜紋夜蛾,新竹縣,竹北市,2015,1,1,7.0,467571,2015-01-01,467571
45,斜紋夜蛾,新北市,蘆洲區,2015,1,1,0.0,C0ACA0,2015-01-01,C0ACA0
46,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,1,3.7,C0K250,2015-01-01,C0K250
47,斜紋夜蛾,高雄市,岡山區,2015,1,1,8.0,C0V670,2015-01-01,C0V670
48,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,1,11.0,C0E750,2015-01-01,C0E750
49,斜紋夜蛾,花蓮縣,新秀地區,2015,1,1,7.3,466990,2015-01-01,466990
50,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,1,6.7,466990,2015-01-01,466990
51,斜紋夜蛾,台南市,官田區,2015,1,1,3.0,C0O900,2015-01-01,C0O900
52,斜紋夜蛾,台中市,霧峰區,2015,1,1,85.3,C1F9B1,2015-01-01,C1F9B1
53,斜紋夜蛾,台中市,龍井區,2015,1,1,20.0,467770,2015-01-01,467770
54,斜紋夜蛾,台中市,大甲區,2015,1,1,2.7,C0F930,2015-01-01,C0F930
55,斜紋夜蛾,彰化縣,福興鄉,2014,12,3,8.3,C0G640,2014-12-21,C0G640
56,斜紋夜蛾,彰化縣,田尾鄉,2014,12,3,3.3,C0G840,2014-12-21,C0G840
57,斜紋夜蛾,彰化縣,大城鄉,2014,12,3,10.7,C0G840,2014-12-21,C0G840
58,斜紋夜蛾,新竹縣,竹北市,2014,12,3,9.7,467571,2014-12-21,467571
59,斜紋夜蛾,新北市,蘆洲區,2014,12,3,15.7,C0ACA0,2014-12-21,C0ACA0
60,斜紋夜蛾,雲林縣,褒忠鄉,2014,12,3,6.3,C0K250,2014-12-21,C0K250
61,斜紋夜蛾,高雄市,岡山區,2014,12,3,5.7,C0V670,2014-12-21,C0V670
62,斜紋夜蛾,苗栗縣,後龍鎮,2014,12,3,19.7,C0E750,2014-12-21,C0E750
63,斜紋夜蛾,花蓮縣,新秀地區,2014,12,3,7.7,466990,2014-12-21,466990
64,斜紋夜蛾,花蓮縣,吉安鄉,2014,12,3,6.0,466990,2014-12-21,466990
65,斜紋夜蛾,宜蘭縣,三星地區,2014,12,3,2.7,C1U660,2014-12-21,C1U660
66,斜紋夜蛾,台南市,官田區,2014,12,3,4.0,C0O900,2014-12-21,C0O900
67,斜紋夜蛾,台中市,龍井區,2014,12,3,24.0,467770,2014-12-21,467770
68,斜紋夜蛾,台中市,大甲區,2014,12,3,6.7,C0F930,2014-12-21,C0F930
69,斜紋夜蛾,彰化縣,福興鄉,2014,12,2,0.0,C0G640,2014-12-11,C0G640
70,斜紋夜蛾,彰化縣,田尾鄉,2014,12,2,0.0,C0G840,2014-12-11,C0G840
71,斜紋夜蛾,彰化縣,大城鄉,2014,12,2,0.0,C0G840,2014-12-11,C0G840
72,斜紋夜蛾,新竹縣,竹北市,2014,12,2,0.0,467571,2014-12-11,467571
73,斜紋夜蛾,新北市,蘆洲區,2014,12,2,0.0,C0ACA0,2014-12-11,C0ACA0
74,斜紋夜蛾,雲林縣,褒忠鄉,2014,12,2,0.0,C0K250,2014-12-11,C0K250
75,斜紋夜蛾,高雄市,岡山區,2014,12,2,0.0,C0V670,2014-12-11,C0V670
76,斜紋夜蛾,苗栗縣,後龍鎮,2014,12,2,0.0,C0E750,2014-12-11,C0E750
77,斜紋夜蛾,花連縣,新秀地區,2014,12,2,0.0,466990,2014-12-11,466990
78,斜紋夜蛾,花連縣,吉安鄉,2014,12,2,0.0,466990,2014-12-11,466990
79,斜紋夜蛾,宜蘭縣,三星地區,2014,12,2,0.0,C1U660,2014-12-11,C1U660
80,斜紋夜蛾,台南市,官田區,2014,12,2,0.0,C0O900,2014-12-11,C0O900
81,斜紋夜蛾,台中市,霧峰區,2014,12,2,0.0,C1F9B1,2014-12-11,C1F9B1
82,斜紋夜蛾,台中市,龍井區,2014,12,2,0.0,467770,2014-12-11,467770
83,斜紋夜蛾,台中市,大甲區,2014,12,2,0.0,C0F930,2014-12-11,C0F930
84,斜紋夜蛾,彰化縣,福興鄉,2014,12,1,0.0,C0G640,2014-12-01,C0G640
85,斜紋夜蛾,彰化縣,田尾鄉,2014,12,1,0.0,C0G840,2014-12-01,C0G840
86,斜紋夜蛾,彰化縣,大城鄉,2014,12,1,0.0,C0G840,2014-12-01,C0G840
87,斜紋夜蛾,新竹縣,竹北市,2014,12,1,0.0,467571,2014-12-01,467571
88,斜紋夜蛾,新北市,蘆洲區,2014,12,1,0.0,C0ACA0,2014-12-01,C0ACA0
89,斜紋夜蛾,雲林縣,褒忠鄉,2014,12,1,0.0,C0K250,2014-12-01,C0K250
90,斜紋夜蛾,高雄市,岡山區,2014,12,1,0.0,C0V670,2014-12-01,C0V670
91,斜紋夜蛾,苗栗縣,後龍鎮,2014,12,1,0.0,C0E750,2014-12-01,C0E750
92,斜紋夜蛾,花連縣,新秀地區,2014,12,1,0.0,466990,2014-12-01,466990
93,斜紋夜蛾,花連縣,吉安鄉,2014,12,1,0.0,466990,2014-12-01,466990
94,斜紋夜蛾,宜蘭縣,三星地區,2014,12,1,0.0,C1U660,2014-12-01,C1U660
95,斜紋夜蛾,台南市,官田區,2014,12,1,0.0,C0O900,2014-12-01,C0O900
96,斜紋夜蛾,台中市,霧峰區,2014,12,1,0.0,C1F9B1,2014-12-01,C1F9B1
97,斜紋夜蛾,台中市,龍井區,2014,12,1,0.0,467770,2014-12-01,467770
98,斜紋夜蛾,台中市,大甲區,2014,12,1,0.0,C0F930,2014-12-01,C0F930
99,斜紋夜蛾,彰化縣,福興鄉,2014,11,3,0.0,C0G640,2014-11-21,C0G640
100,斜紋夜蛾,彰化縣,田尾鄉,2014,11,3,0.0,C0G840,2014-11-21,C0G840
101,斜紋夜蛾,彰化縣,大城鄉,2014,11,3,0.0,C0G840,2014-11-21,C0G840
102,斜紋夜蛾,新竹縣,竹北市,2014,11,3,0.0,467571,2014-11-21,467571
103,斜紋夜蛾,新北市,蘆洲區,2014,11,3,0.0,C0ACA0,2014-11-21,C0ACA0
104,斜紋夜蛾,雲林縣,褒忠鄉,2014,11,3,0.0,C0K250,2014-11-21,C0K250
105,斜紋夜蛾,高雄市,岡山區,2014,11,3,0.0,C0V670,2014-11-21,C0V670
106,斜紋夜蛾,苗栗縣,後龍鎮,2014,11,3,0.0,C0E750,2014-11-21,C0E750
107,斜紋夜蛾,花連縣,新秀地區,2014,11,3,0.0,466990,2014-11-21,466990
108,斜紋夜蛾,花連縣,吉安鄉,2014,11,3,0.0,466990,2014-11-21,466990
109,斜紋夜蛾,宜蘭縣,三星地區,2014,11,3,0.0,C1U660,2014-11-21,C1U660
110,斜紋夜蛾,台南市,官田區,2014,11,3,0.0,C0O900,2014-11-21,C0O900
111,斜紋夜蛾,台中市,龍井區,2014,11,3,0.0,467770,2014-11-21,467770
112,斜紋夜蛾,台中市,大甲區,2014,11,3,0.0,C0F930,2014-11-21,C0F930
113,斜紋夜蛾,彰化縣,福興鄉,2014,11,2,45.0,C0G640,2014-11-11,C0G640
114,斜紋夜蛾,彰化縣,田尾鄉,2014,11,2,5.0,C0G840,2014-11-11,C0G840
115,斜紋夜蛾,彰化縣,大城鄉,2014,11,2,22.0,C0G840,2014-11-11,C0G840
116,斜紋夜蛾,新竹縣,竹北市,2014,11,2,9.3,467571,2014-11-11,467571
117,斜紋夜蛾,新北市,蘆洲區,2014,11,2,16.0,C0ACA0,2014-11-11,C0ACA0
118,斜紋夜蛾,雲林縣,褒忠鄉,2014,11,2,134.3,C0K250,2014-11-11,C0K250
119,斜紋夜蛾,高雄市,岡山區,2014,11,2,5.0,C0V670,2014-11-11,C0V670
120,斜紋夜蛾,苗栗縣,後龍鎮,2014,11,2,20.3,C0E750,2014-11-11,C0E750
121,斜紋夜蛾,花連縣,新秀地區,2014,11,2,14.0,466990,2014-11-11,466990
122,斜紋夜蛾,花連縣,吉安鄉,2014,11,2,6.0,466990,2014-11-11,466990
123,斜紋夜蛾,宜蘭縣,三星地區,2014,11,2,5.7,C1U660,2014-11-11,C1U660
124,斜紋夜蛾,台南市,官田區,2014,11,2,1.3,C0O900,2014-11-11,C0O900
125,斜紋夜蛾,台中市,霧峰區,2014,11,2,70.0,C1F9B1,2014-11-11,C1F9B1
126,斜紋夜蛾,台中市,龍井區,2014,11,2,22.0,467770,2014-11-11,467770
127,斜紋夜蛾,台中市,大甲區,2014,11,2,0.7,C0F930,2014-11-11,C0F930
128,斜紋夜蛾,彰化縣,福興鄉,2014,11,1,38.3,C0G640,2014-11-01,C0G640
129,斜紋夜蛾,彰化縣,田尾鄉,2014,11,1,11.7,C0G840,2014-11-01,C0G840
130,斜紋夜蛾,彰化縣,大城鄉,2014,11,1,24.3,C0G840,2014-11-01,C0G840
131,斜紋夜蛾,新竹縣,竹北市,2014,11,1,10.7,467571,2014-11-01,467571
132,斜紋夜蛾,新北市,蘆洲區,2014,11,1,34.3,C0ACA0,2014-11-01,C0ACA0
133,斜紋夜蛾,雲林縣,褒忠鄉,2014,11,1,165.0,C0K250,2014-11-01,C0K250
134,斜紋夜蛾,高雄市,岡山區,2014,11,1,7.0,C0V670,2014-11-01,C0V670
135,斜紋夜蛾,苗栗縣,後龍鎮,2014,11,1,20.0,C0E750,2014-11-01,C0E750
136,斜紋夜蛾,花連縣,新秀地區,2014,11,1,17.0,466990,2014-11-01,466990
137,斜紋夜蛾,花連縣,吉安鄉,2014,11,1,7.0,466990,2014-11-01,466990
138,斜紋夜蛾,宜蘭縣,三星地區,2014,11,1,8.3,C1U660,2014-11-01,C1U660
139,斜紋夜蛾,台南市,官田區,2014,11,1,1.0,C0O900,2014-11-01,C0O900
140,斜紋夜蛾,台中市,霧峰區,2014,11,1,81.3,C1F9B1,2014-11-01,C1F9B1
141,斜紋夜蛾,台中市,龍井區,2014,11,1,57.3,467770,2014-11-01,467770
142,斜紋夜蛾,台中市,大甲區,2014,11,1,0.7,C0F930,2014-11-01,C0F930
143,斜紋夜蛾,彰化縣,福興鄉,2014,10,3,6.7,C0G640,2014-10-21,C0G640
144,斜紋夜蛾,彰化縣,田尾鄉,2014,10,3,11.7,C0G840,2014-10-21,C0G840
145,斜紋夜蛾,彰化縣,大城鄉,2014,10,3,45.7,C0G840,2014-10-21,C0G840
146,斜紋夜蛾,新竹縣,竹北市,2014,10,3,10.0,467571,2014-10-21,467571
147,斜紋夜蛾,新北市,蘆洲區,2014,10,3,22.3,C0ACA0,2014-10-21,C0ACA0
148,斜紋夜蛾,雲林縣,褒忠鄉,2014,10,3,73.3,C0K250,2014-10-21,C0K250
149,斜紋夜蛾,高雄市,岡山區,2014,10,3,5.3,C0V670,2014-10-21,C0V670
150,斜紋夜蛾,苗栗縣,後龍鎮,2014,10,3,11.0,C0E750,2014-10-21,C0E750
151,斜紋夜蛾,花連縣,新秀地區,2014,10,3,16.3,466990,2014-10-21,466990
152,斜紋夜蛾,花連縣,吉安鄉,2014,10,3,6.3,466990,2014-10-21,466990
153,斜紋夜蛾,宜蘭縣,三星地區,2014,10,3,11.3,C1U660,2014-10-21,C1U660
154,斜紋夜蛾,台南市,官田區,2014,10,3,10.7,C0O900,2014-10-21,C0O900
155,斜紋夜蛾,台中市,龍井區,2014,10,3,15.0,467770,2014-10-21,467770
156,斜紋夜蛾,台中市,大甲區,2014,10,3,1.7,C0F930,2014-10-21,C0F930
157,斜紋夜蛾,彰化縣,福興鄉,2014,10,2,13.7,C0G640,2014-10-11,C0G640
158,斜紋夜蛾,彰化縣,田尾鄉,2014,10,2,13.3,C0G840,2014-10-11,C0G840
159,斜紋夜蛾,彰化縣,大城鄉,2014,10,2,68.3,C0G840,2014-10-11,C0G840
160,斜紋夜蛾,新竹縣,竹北市,2014,10,2,12.7,467571,2014-10-11,467571
161,斜紋夜蛾,新北市,蘆洲區,2014,10,2,59.7,C0ACA0,2014-10-11,C0ACA0
162,斜紋夜蛾,雲林縣,褒忠鄉,2014,10,2,40.3,C0K250,2014-10-11,C0K250
163,斜紋夜蛾,高雄市,岡山區,2014,10,2,4.3,C0V670,2014-10-11,C0V670
164,斜紋夜蛾,苗栗縣,後龍鎮,2014,10,2,13.3,C0E750,2014-10-11,C0E750
165,斜紋夜蛾,花蓮縣,吉安鄉,2014,10,2,7.3,466990,2014-10-11,466990
166,斜紋夜蛾,宜蘭縣,三星地區,2014,10,2,9.3,C1U660,2014-10-11,C1U660
167,斜紋夜蛾,台南市,官田區,2014,10,2,10.7,C0O900,2014-10-11,C0O900
168,斜紋夜蛾,台中市,霧峰區,2014,10,2,71.7,C1F9B1,2014-10-11,C1F9B1
169,斜紋夜蛾,台中市,龍井區,2014,10,2,14.0,467770,2014-10-11,467770
170,斜紋夜蛾,台中市,大甲區,2014,10,2,2.0,C0F930,2014-10-11,C0F930
171,斜紋夜蛾,彰化縣,福興鄉,2014,10,1,28.0,C0G640,2014-10-01,C0G640
172,斜紋夜蛾,彰化縣,田尾鄉,2014,10,1,13.3,C0G840,2014-10-01,C0G840
173,斜紋夜蛾,彰化縣,大城鄉,2014,10,1,350.0,C0G840,2014-10-01,C0G840
174,斜紋夜蛾,新竹縣,竹北市,2014,10,1,17.3,467571,2014-10-01,467571
175,斜紋夜蛾,新北市,蘆洲區,2014,10,1,36.3,C0ACA0,2014-10-01,C0ACA0
176,斜紋夜蛾,雲林縣,褒忠鄉,2014,10,1,28.3,C0K250,2014-10-01,C0K250
177,斜紋夜蛾,高雄市,岡山區,2014,10,1,3.0,C0V670,2014-10-01,C0V670
178,斜紋夜蛾,苗栗縣,後龍鎮,2014,10,1,18.3,C0E750,2014-10-01,C0E750
179,斜紋夜蛾,花蓮縣,吉安鄉,2014,10,1,8.7,466990,2014-10-01,466990
180,斜紋夜蛾,宜蘭縣,三星地區,2014,10,1,9.3,C1U660,2014-10-01,C1U660
181,斜紋夜蛾,台南市,官田區,2014,10,1,2.7,C0O900,2014-10-01,C0O900
182,斜紋夜蛾,台中市,龍井區,2014,10,1,12.7,467770,2014-10-01,467770
183,斜紋夜蛾,台中市,大甲區,2014,10,1,0.7,C0F930,2014-10-01,C0F930
184,斜紋夜蛾,彰化縣,福興鄉,2014,9,3,22.3,C0G640,2014-09-21,C0G640
185,斜紋夜蛾,彰化縣,田尾鄉,2014,9,3,13.3,C0G840,2014-09-21,C0G840
186,斜紋夜蛾,彰化縣,大城鄉,2014,9,3,54.3,C0G840,2014-09-21,C0G840
187,斜紋夜蛾,新竹縣,竹北市,2014,9,3,16.3,467571,2014-09-21,467571
188,斜紋夜蛾,新北市,蘆洲區,2014,9,3,119.3,C0ACA0,2014-09-21,C0ACA0
189,斜紋夜蛾,高雄市,岡山區,2014,9,3,4.3,C0V670,2014-09-21,C0V670
190,斜紋夜蛾,苗栗縣,後龍鎮,2014,9,3,18.3,C0E750,2014-09-21,C0E750
191,斜紋夜蛾,金門縣,金門,2014,9,3,24.5,467110,2014-09-21,467110
192,斜紋夜蛾,花蓮縣,吉安鄉,2014,9,3,8.7,466990,2014-09-21,466990
193,斜紋夜蛾,宜蘭縣,三星地區,2014,9,3,15.0,C1U660,2014-09-21,C1U660
194,斜紋夜蛾,台南市,官田區,2014,9,3,2.7,C0O900,2014-09-21,C0O900
195,斜紋夜蛾,台中市,霧峰區,2014,9,3,64.0,C1F9B1,2014-09-21,C1F9B1
196,斜紋夜蛾,台中市,龍井區,2014,9,3,14.7,467770,2014-09-21,467770
197,斜紋夜蛾,台中市,大甲區,2014,9,3,1.3,C0F930,2014-09-21,C0F930
198,斜紋夜蛾,彰化縣,福興鄉,2014,9,2,68.3,C0G640,2014-09-11,C0G640
199,斜紋夜蛾,彰化縣,田尾鄉,2014,9,2,11.7,C0G840,2014-09-11,C0G840
200,斜紋夜蛾,彰化縣,大城鄉,2014,9,2,44.3,C0G840,2014-09-11,C0G840
201,斜紋夜蛾,新竹縣,竹北市,2014,9,2,11.7,467571,2014-09-11,467571
202,斜紋夜蛾,新北市,蘆洲區,2014,9,2,27.7,C0ACA0,2014-09-11,C0ACA0
203,斜紋夜蛾,高雄市,岡山區,2014,9,2,8.3,C0V670,2014-09-11,C0V670
204,斜紋夜蛾,苗栗縣,後龍鎮,2014,9,2,21.0,C0E750,2014-09-11,C0E750
205,斜紋夜蛾,花蓮縣,新秀地區,2014,9,2,22.3,466990,2014-09-11,466990
206,斜紋夜蛾,花蓮縣,吉安鄉,2014,9,2,8.3,466990,2014-09-11,466990
207,斜紋夜蛾,宜蘭縣,三星地區,2014,9,2,25.3,C1U660,2014-09-11,C1U660
208,斜紋夜蛾,台南市,官田區,2014,9,2,2.7,C0O900,2014-09-11,C0O900
209,斜紋夜蛾,台中市,霧峰區,2014,9,2,70.0,C1F9B1,2014-09-11,C1F9B1
210,斜紋夜蛾,台中市,龍井區,2014,9,2,53.7,467770,2014-09-11,467770
211,斜紋夜蛾,台中市,大甲區,2014,9,2,0.7,C0F930,2014-09-11,C0F930
212,斜紋夜蛾,彰化縣,福興鄉,2014,9,1,34.7,C0G640,2014-09-01,C0G640
